episode,total_reward
1,-1486.7178145200014
2,-1495.4621431529522
3,-1495.6246746182442
4,-1502.9350533857942
5,-1506.3538486510515
6,-1493.6345275193453
7,-1496.5007448717952
8,-1505.4297336935997
9,-1504.584214963019
10,-1504.0977034643292
11,-1495.2032810747623
12,-1504.6297252178192
13,-1494.2850967347622
14,-1504.3561970964074
15,-1460.7102759033442
16,-1496.3752243742347
17,-1446.4927029311657
18,-1505.205076009035
19,-1503.1153015643358
20,-1502.9578657448292
21,-1428.299479112029
22,-1437.0154931247234
23,-1430.0400823056698
24,-1427.682057350874
25,-1422.4258217960596
26,-1427.1073584258556
27,-1437.3461617529392
28,-1434.019923940301
29,-1440.5156293809414
30,-1407.845660045743
31,-1368.1321376264095
32,-1414.5260868668556
33,-1409.843507528305
34,-1366.9343466758728
35,-1408.5883131176233
36,-1434.6341099441051
37,-1449.619076371193
38,-1410.1797312051058
39,-1421.161718070507
40,-1369.1540993452072
41,-1393.0161932110786
42,-1499.1306997165084
43,-1382.3127218484879
44,-1417.1982108205557
45,-1408.5798050910234
46,-1407.590622216463
47,-1377.526123225689
48,-1395.1444378346205
49,-1401.3273794054985
50,-1436.8008149415255
51,-1405.2368282526731
52,-1354.9775332212448
53,-1391.7256979942322
54,-1421.6736386567354
55,-1431.2868477106094
56,-1369.3595211803913
